abandon,放棄
seal,海豹
seam,接縫
search,搜尋
season,季節
seat,座位
second,秒
secondary,次要的
secret,秘密
secretary,秘書
section,部分
sector,部門
secure,安全的
security,安全
see,看
seed,種子
seek,尋找
seem,似乎
segment,片段
seize,抓住
seldom,很少
select,選擇
selection,選擇
self,自己
selfish,自私的
sell,賣
semester,學期
semiconductor,半導體
seminar,研討會
senate,參議院
senator,參議員
send,發送
senior,年長的
sensation,感覺
sense,感覺
sensible,明智的
sensitive,敏感的
sentence,句子
sentiment,情緒
separate,分開
sequence,順序
serial,連續的
series,系列
serious,嚴肅的
servant,僕人
serve,服務
service,服務
session,會議
set,設定
setback,挫折
settle,解決
settlement,解決
several,幾個
severe,嚴重的
sew,縫
sex,性別
sexual,性的
shabby,破舊的
shade,陰影
shadow,影子
shaft,軸
shake,搖動
shallow,淺的
shame,羞恥
shampoo,洗髮精
shape,形狀
share,分享
shark,鯊魚
sharp,鋒利的
shatter,粉碎
shave,刮鬍子
she,她
shed,棚屋
sheep,綿羊
sheer,純粹的
sheet,床單
shelf,架子
shell,貝殼
shelter,避難所
shepherd,牧羊人
sheriff,警長
shield,盾牌
shift,轉移
shilling,先令
shine,發光
ship,船
shirt,襯衫
shiver,顫抖
shock,震驚
shoe,鞋子
shoot,射擊
shop,商店
shore,岸
short,短的
shortage,短缺
shortcoming,缺點
shortly,不久
shot,射擊
should,應該
shoulder,肩膀
shout,喊叫
show,展示
shower,淋浴
shrewd,精明的
shrink,收縮
shrug,聳肩
shut,關閉
shutter,百葉窗
shuttle,接駁車
shy,害羞的
sick,生病的
sickness,疾病
side,邊
sideways,向側面地
siege,圍攻
sieve,篩子
sift,篩
sigh,嘆氣
sight,視力
sightseeing,觀光
sign,標誌
signal,信號
signature,簽名
significance,重要性
significant,重要的
signify,表示
silence,沉默
silent,沉默的
silk,絲綢
silly,愚蠢的
silver,銀
similar,相似的
simplicity,簡單
simplify,簡化
simply,僅僅
simulate,模擬
simultaneous,同時的
sin,罪
since,自從
sincere,真誠的
sing,唱
single,單一的
singular,單數的
sink,下沉
sip,啜飲
sir,先生
siren,警報器
sister,姐妹
sit,坐
site,地點
situate,位於
situation,情況
size,尺寸
skating,溜冰
skeleton,骨架
sketch,草圖
skiing,滑雪
skill,技能
skilled,熟練的
skillful,熟練的
skim,略讀
skin,皮膚
skip,跳過
skirt,裙子
sky,天空
slack,鬆弛的
slam,猛擊
slap,賞耳光
slash,揮砍
slate,石板
slaughter,屠殺
slave,奴隸
slavery,奴隸制度
sleep,睡覺
sleeve,袖子
slender,苗條的
slice,薄片
slide,滑動
slight,輕微的
slim,苗條的
slip,滑倒
slipper,拖鞋
slippery,滑的
slit,切口
slogan,口號
slope,斜坡
slow,慢的
slum,貧民窟
slumber,睡眠
sly,狡猾的
small,小的
smart,聰明的
smash,粉碎
smell,味道
smile,微笑
smog,煙霧
smoke,煙
smooth,光滑的
smuggle,走私
snack,點心
snail,蝸牛
snake,蛇
snap,折斷
snatch,搶奪
sneak,鬼鬼祟祟地走
sneeze,打噴嚏
sniff,嗅
snow,雪
snowflake,雪花
so,所以
soak,浸泡
soap,肥皂
soar,高飛
sob,啜泣
sober,清醒的
soccer,足球
sociable,善於交際的
social,社會的
socialism,社會主義
society,社會
sociology,社會學
sock,襪子
soda,蘇打水
sfa,沙發
soft,柔軟的
software,軟體
soil,土壤
solar,太陽的
soldier,士兵
sole,唯一的
solemn,莊嚴的
solid,固體的
solidarity,團結
solitary,孤獨的
solo,獨奏
soluble,可溶的
solution,解決方案
solve,解決
some,一些
somebody,某人
somehow,不知何故
someone,某人
something,某事
sometime,某時
sometimes,有時
somewhat,稍微
somewhere,某處
son,兒子
song,歌
soon,不久
soone,更早
soothe,撫慰
sophisticated,世故的
sore,疼痛的
sorrow,悲傷
sorry,抱歉的
sort,種類
soul,靈魂
sound,聲音
soup,湯
sour,酸的
source,來源
south,南
southeast,東南
southern,南方的
southwest,西南
sovereign,有主權的
sow,播種
space,空間
spacecraft,太空船
spaceship,太空船
spade,鏟子
span,跨度
spare,多餘的
spark,火花
sparkle,閃耀
sparrow,麻雀
speak,說
speaker,演講者
spear,矛
special,特別的
specialist,專家
specialize,專攻
specialty,專長
species,物種
specific,明確的
specification,規格
specify,指定
specimen,標本
spectacle,奇觀
spectacular,壯觀的
spectator,觀眾
spectrum,光譜
speculate,推測
speech,演講
speed,速度
spell,拼寫
spelling,拼寫
spend,花費
sphere,球體
spice,香料
spider,蜘蛛
spill,溢出
spin,旋轉
spiral,螺旋的
spirit,精神
spiritual,精神上的
spit,吐口水
spite,惡意
splash,飛濺
splendid,燦爛的
split,分裂
spoil,損壞
spokesman,發言人
sponge,海綿
sponsor,贊助商
spontaneous,自發的
spoon,湯匙
sport,運動
sportsman,運動員
spot,地點
spray,噴霧
spread,傳播
spring,春天
spur,馬刺
spy,間諜
square,正方形
squeak,吱吱聲
squeeze,擠壓
squirrel,松鼠
stab,刺
stability,穩定性
stable,穩定的
stack,堆
stadium,體育場
staff,員工
stage,舞台
stagger,蹣跚
stain,汙漬
stair,樓梯
staircase,樓梯
stake,賭注
stale,陳舊的
stalk,跟蹤
stall,攤位
stammer,結巴
stamp,郵票
stand,站立
standard,標準
standpoint,立場
star,星星
stare,凝視
start,開始
startle,使吃驚
starve,挨餓
state,狀態
statement,聲明
statesman,政治家
static,靜態的
station,車站
stationary,靜止的
stationery,文具
statistical,統計的
statue,雕像
status,地位
stay,停留
steadily,穩定地
steady,穩定的
steak,牛排
steal,偷
steam,蒸汽
steamer,輪船
steel,鋼
steep,陡峭的
steer,駕駛
stem,莖
step,步驟
stereo,立體聲
stern,嚴厲的
steward,管理員
stewardess,空姐
stick,棍子
sticky,黏的
stiff,僵硬的
still,仍然
stimulate,刺激
stimulus,刺激物
sting,刺
stir,攪拌
stitch,縫
stock,庫存
stocking,長襪
stomach,胃
stone,石頭
stool,凳子
stoop,彎腰
stop,停止
storage,儲存
store,商店
storey,樓層
storm,暴風雨
story,故事
stove,爐子
straight,直的
strain,拉緊
strange,奇怪的
stranger,陌生人
strap,帶子
strategy,策略
straw,稻草
strawberry,草莓
stream,溪流
streamline,流線型
street,街道
strength,力量
strengthen,加強
stress,壓力
stretch,伸展
strict,嚴格的
stride,大步走
strife,衝突
strike,打擊
striking,引人注目的
string,繩子
strip,條
stripe,條紋
strive,努力
stroke,中風
stroll,散步
strong,強壯的
structure,結構
struggle,掙扎
student,學生
studio,工作室
study,學習
stuff,東西
stumble,絆倒
stupid,愚蠢的
sturdy,堅固的
style,風格
subdivide,細分
subdue,征服
subject,主題
subjective,主觀的
submarine,潛水艇
submit,提交
subordinate,下屬
subscribe,訂閱
subsequent,隨後的
subsidize,補貼
substance,物質
substantial,大量的
substitute,替代品
subtract,減去
suburb,郊區
subway,地鐵
succeed,成功
success,成功
successful,成功的
succession,繼承
successive,連續的
such,這樣的
suck,吸
sudden,突然的
suffer,遭受
suffice,足夠
sufficient,足夠的
sugar,糖
suggest,建議
suggestion,建議
suicide,自殺
suit,西裝
suitable,適合的
suitcase,手提箱
suite,套房
sulfur,硫磺
sum,總和
summarize,總結
summary,摘要
summer,夏天
summit,頂峰
summon,召喚
sun,太陽
sunday,星期日
sunlight,陽光
sunny,晴朗的
sunrise,日出
sunset,日落
sunshine,陽光
super,超級的
superb,極好的
superficial,表面的
superintendent,監督人
superior,上級的
supermarket,超級市場
superstition,迷信
supervise,監督
supper,晚餐
supplement,補充
supply,供應
support,支持
suppose,假設
suppress,鎮壓
supreme,至高無上的
sure,確定的
surface,表面
surge,激增
surgeon,外科醫生
surgery,手術
surname,姓
surpass,超越
surplus,剩餘
surprise,驚喜
surrender,投降
surround,圍繞
surroundings,環境
survey,調查
survival,生存
survive,生存
suspect,懷疑
suspend,暫停
suspicion,懷疑
